im_idx,pair_idx,im_id,filename,system_idx,city,city_ascii,country,geonameid,lng,lat,date,time
31,b,31_b,31_b.npy,20191129T054201_20191129T054449_T43RBK,Jodhpur,Jodhpur,India,1268865,73.00594,26.26841,20191129,54201
32,a,32_a,32_a.npy,20180606T033629_20180606T034558_T48RVS,Yibin,Yibin,China,1786770,104.63994,28.7593,20180606,33629
32,b,32_b,32_b.npy,20180216T033819_20180216T034233_T48RVS,Yibin,Yibin,China,1786770,104.63994,28.7593,20180216,33819
33,a,33_a,33_a.npy,20191222T055241_20191222T055928_T42QWJ,Porbandar,Porbandar,India,1259395,69.60929,21.64219,20191222,55241
33,b,33_b,33_b.npy,20171117T055109_20171117T060033_T42QWJ,Porbandar,Porbandar,India,1259395,69.60929,21.64219,20171117,55109
35,a,35_a,35_a.npy,20190329T162901_20190329T164214_T15QYC,Campeche,Campeche,Mexico,3531732,-90.52554,19.84386,20190329,162901
35,b,35_b,35_b.npy,20191204T163651_20191204T164629_T15QYB,Campeche,Campeche,Mexico,3531732,-90.52554,19.84386,20191204,163651
36,a,36_a,36_a.npy,20170226T053111_20170226T053114_T44RKR,Fīrozābād,Firozabad,India,1271885,78.39781,27.15092,20170226,53111
36,b,36_b,36_b.npy,20180611T051651_20180611T052257_T44RKR,Fīrozābād,Firozabad,India,1271885,78.39781,27.15092,20180611,51651
37,a,37_a,37_a.npy,20190331T184941_20190331T185952_T11TLM,Kennewick,Kennewick,United States,5799610,-119.13723,46.21125,20190331,184941
37,b,37_b,37_b.npy,20160912T184952_20160912T235110_T11TLM,Kennewick,Kennewick,United States,5799610,-119.13723,46.21125,20160912,184952
39,a,39_a,39_a.npy,20170716T174909_20170716T180250_T13TDE,Louisville,Louisville,United States,5429522,-105.13193,39.97776,20170716,174909
39,b,39_b,39_b.npy,20171125T175251_20171125T175250_T13TDE,Louisville,Louisville,United States,5429522,-105.13193,39.97776,20171125,175251
40,a,40_a,40_a.npy,20170421T031541_20170421T033212_T48NTL,Kuala Terengganu,Kuala Terengganu,Malaysia,1734705,103.1408,5.3302,20170421,31541
40,b,40_b,40_b.npy,20190908T031541_20190908T033518_T48NTL,Kuala Terengganu,Kuala Terengganu,Malaysia,1734705,103.1408,5.3302,20190908,31541
41,a,41_a,41_a.npy,20170712T095029_20170712T095623_T33TVF,Salerno,Salerno,Italy,3168673,14.79328,40.67545,20170712,95029
41,b,41_b,41_b.npy,20181109T095221_20181109T095345_T33TVF,Salerno,Salerno,Italy,3168673,14.79328,40.67545,20181109,95221
42,a,42_a,42_a.npy,20181230T051219_20181230T051417_T44QME,Khammam,Khammam,India,1267076,80.14368,17.24767,20181230,51219
42,b,42_b,42_b.npy,20170514T050701_20170514T051753_T44QME,Khammam,Khammam,India,1267076,80.14368,17.24767,20170514,50701
43,a,43_a,43_a.npy,20180423T185919_20180423T191040_T10TDP,Eugene,Eugene,United States,5725846,-123.08675,44.05207,20180423,185919
43,b,43_b,43_b.npy,20170831T185921_20170831T191016_T10TDP,Eugene,Eugene,United States,5725846,-123.08675,44.05207,20170831,185921
44,a,44_a,44_a.npy,20171113T024929_20171113T025137_T51SUB,Yantai,Yantai,China,1787093,121.44081,37.47649,20171113,24929
44,b,44_b,44_b.npy,20190914T024549_20190914T025603_T51SUB,Yantai,Yantai,China,1787093,121.44081,37.47649,20190914,24549
45,a,45_a,45_a.npy,20200125T180629_20200125T180927_T12SVB,Chandler,Chandler,United States,5289282,-111.84125,33.30616,20200125,180629
45,b,45_b,45_b.npy,20190801T180929_20190801T182013_T12SVB,Chandler,Chandler,United States,5289282,-111.84125,33.30616,20190801,180929
46,a,46_a,46_a.npy,20151123T074242_20151123T074247_T38PKB,Al Ḩudaydah,Al Hudaydah,Yemen,79415,42.95452,14.79781,20151123,74242
46,b,46_b,46_b.npy,20170126T073151_20170126T074339_T38PKB,Al Ḩudaydah,Al Hudaydah,Yemen,79415,42.95452,14.79781,20170126,73151
47,a,47_a,47_a.npy,20200201T033951_20200201T035249_T47PPR,Samut Prakan,Samut Prakan,Thailand,1606590,100.59675,13.59934,20200201,33951
47,b,47_b,47_b.npy,20170216T035411_20170216T035412_T47PPR,Samut Prakan,Samut Prakan,Thailand,1606590,100.59675,13.59934,20170216,35411
48,a,48_a,48_a.npy,20180610T163839_20180610T165203_T16SBH,St. Louis,St. Louis,United States,4407066,-90.19789,38.62727,20180610,163839
48,b,48_b,48_b.npy,20170514T165321_20170514T170032_T15SYC,St. Louis,St. Louis,United States,4407066,-90.19789,38.62727,20170514,165321
49,a,49_a,49_a.npy,20191114T021939_20191114T023740_T50LLR,Mataram,Mataram,Indonesia,1635882,116.11667,-8.58333,20191114,21939
49,b,49_b,49_b.npy,20190707T021609_20190707T023338_T50LMR,Mataram,Mataram,Indonesia,1635882,116.11667,-8.58333,20190707,21609
50,a,50_a,50_a.npy,20160926T140112_20160926T140108_T21HVB,La Plata,La Plata,Argentina,3432043,-57.95453,-34.92145,20160926,140112
50,b,50_b,50_b.npy,20190524T135121_20190524T135115_T21HVB,La Plata,La Plata,Argentina,3432043,-57.95453,-34.92145,20190524,135121
51,a,51_a,51_a.npy,20180626T110621_20180626T111413_T30UXD,Leicester,Leicester,United Kingdom,2644668,-1.13169,52.6386,20180626,110621
51,b,51_b,51_b.npy,20180902T112109_20180902T112104_T30UXD,Leicester,Leicester,United Kingdom,2644668,-1.13169,52.6386,20180902,112109
53,a,53_a,53_a.npy,20150812T090006_20150812T090007_T36UWE,Bryansk,Bryansk,Russia,571476,34.37167,53.25209,20150812,90006
53,b,53_b,53_b.npy,20170801T090021_20170801T090356_T36UWE,Bryansk,Bryansk,Russia,571476,34.37167,53.25209,20170801,90021
54,a,54_a,54_a.npy,20161130T174712_20161130T223934_T12RZN,Culiacán,Culiacan,Mexico,4012176,-107.38782,24.79032,20161130,174712
54,b,54_b,54_b.npy,20181220T174731_20181220T175224_T13RBH,Culiacán,Culiacan,Mexico,4012176,-107.38782,24.79032,20181220,174731
55,a,55_a,55_a.npy,20190407T110629_20190407T112425_T28PFR,Conakry,Conakry,Guinea,2422465,-13.67729,9.53795,20190407,110629
55,b,55_b,55_b.npy,20180308T110911_20180308T112445_T28PFR,Conakry,Conakry,Guinea,2422465,-13.67729,9.53795,20180308,110911
56,a,56_a,56_a.npy,20180520T132241_20180520T132235_T22JGQ,Campinas,Campinas,Brazil,6316729,-48.60694,-27.59444,20180520,132241
56,b,56_b,56_b.npy,20180425T132229_20180425T132231_T22JGQ,Campinas,Campinas,Brazil,6316729,-48.60694,-27.59444,20180425,132229
57,a,57_a,57_a.npy,20190928T031541_20190928T031650_T49QBD,Beihai,Beihai,China,1816705,109.1,21.48333,20190928,31541
57,b,57_b,57_b.npy,20180118T031039_20180118T031037_T49QBD,Beihai,Beihai,China,1816705,109.1,21.48333,20180118,31039
58,a,58_a,58_a.npy,20180321T025541_20180321T030131_T49QEE,Yangjiang,Yangjiang,China,1806408,111.96272,21.85563,20180321,25541
58,b,58_b,58_b.npy,20170214T025811_20170214T030309_T49QEE,Yangjiang,Yangjiang,China,1806408,111.96272,21.85563,20170214,25811
59,a,59_a,59_a.npy,20160419T015518_20160419T070719_T53SMT,Tokushima,Tokushima,Japan,1850158,134.56667,34.06667,20160419,15518
59,b,59_b,59_b.npy,20180419T014651_20180419T014653_T53SMT,Tokushima,Tokushima,Japan,1850158,134.56667,34.06667,20180419,14651
60,a,60_a,60_a.npy,20180721T183921_20180721T184353_T11UQS,Calgary,Calgary,Canada,5913490,-114.08529,51.05011,20180721,183921
60,b,60_b,60_b.npy,20170731T183919_20170731T184018_T11UQS,Calgary,Calgary,Canada,5913490,-114.08529,51.05011,20170731,183919
61,a,61_a,61_a.npy,20190211T051939_20190211T052909_T43PGQ,Tumkūr,Tumkur,India,1254089,77.1022,13.34136,20190211,51939
61,b,61_b,61_b.npy,20190422T051659_20190422T053203_T43PGQ,Tumkūr,Tumkur,India,1254089,77.1022,13.34136,20190422,51659
62,a,62_a,62_a.npy,20170823T132231_20170823T132233_T23MQQ,Timon,Timon,Brazil,3386361,-42.83667,-5.09417,20170823,132231
62,b,62_b,62_b.npy,20190820T131251_20190820T131245_T23MQQ,Timon,Timon,Brazil,3386361,-42.83667,-5.09417,20190820,131251
63,a,63_a,63_a.npy,20190330T182939_20190330T184020_T11SLT,Los Angeles,Los Angeles,United States,5368361,-118.24368,34.05223,20190330,182939
63,b,63_b,63_b.npy,20181031T183509_20181031T184032_T11SLT,Los Angeles,Los Angeles,United States,5368361,-118.24368,34.05223,20181031,183509
64,a,64_a,64_a.npy,20190121T173639_20190121T173645_T13QED,Tepic,Tepic,Mexico,3981941,-104.89569,21.50951,20190121,173639
64,b,64_b,64_b.npy,20190322T173009_20190322T173959_T13QED,Tepic,Tepic,Mexico,3981941,-104.89569,21.50951,20190322,173009
65,a,65_a,65_a.npy,20161230T042152_20161230T042739_T46QDM,Aizawl,Aizawl,India,1279186,92.71791,23.72894,20161230,42152
65,b,65_b,65_b.npy,20161230T042152_20161230T042739_T46QDM,Aizawl,Aizawl,India,1279186,92.71791,23.72894,20161230,42152
67,a,67_a,67_a.npy,20190724T025551_20190724T030139_T48MXT,Bogor,Bogor,Indonesia,1648473,106.78917,-6.59444,20190724,25551
67,b,67_b,67_b.npy,20180818T025541_20180818T031827_T48MXT,Bogor,Bogor,Indonesia,1648473,106.78917,-6.59444,20180818,25541
68,a,68_a,68_a.npy,20170309T095021_20170309T100639_T32PMU,Kano,Kano,Nigeria,2335204,8.51672,12.00012,20170309,95021
68,b,68_b,68_b.npy,20191219T095319_20191219T100436_T32PMU,Kano,Kano,Nigeria,2335204,8.51672,12.00012,20191219,95319
69,a,69_a,69_a.npy,20190520T025559_20190520T031735_T48MYU,Bekasi,Bekasi,Indonesia,1649378,106.9896,-6.2349,20190520,25559
69,b,69_b,69_b.npy,20190629T025549_20190629T031832_T48MYU,Bekasi,Bekasi,Indonesia,1649378,106.9896,-6.2349,20190629,25549
70,a,70_a,70_a.npy,20170917T025539_20170917T030434_T49QGF,Dongguan,Dongguan,China,1812545,113.74866,23.01797,20170917,25539
70,b,70_b,70_b.npy,20171206T030059_20171206T031001_T49QGF,Dongguan,Dongguan,China,1812545,113.74866,23.01797,20171206,30059
71,a,71_a,71_a.npy,20191110T183611_20191110T183901_T11SMT,Fontana,Fontana,United States,5349755,-117.43505,34.09223,20191110,183611
71,b,71_b,71_b.npy,20180203T183549_20180203T183547_T11SMT,Fontana,Fontana,United States,5349755,-117.43505,34.09223,20180203,183549
72,a,72_a,72_a.npy,20170928T072639_20170928T073239_T38SQA,Al ‘Amārah,Al `Amarah,Iraq,99608,47.14483,31.83561,20170928,72639
72,b,72_b,72_b.npy,20170516T072621_20170516T073128_T38SQA,Al ‘Amārah,Al `Amarah,Iraq,99608,47.14483,31.83561,20170516,72621
73,a,73_a,73_a.npy,20180110T053159_20180110T053310_T43RGM,Hāpur,Hapur,India,1270393,77.78068,28.72985,20180110,53159
73,b,73_b,73_b.npy,20190430T052651_20190430T052819_T43RGM,Hāpur,Hapur,India,1270393,77.78068,28.72985,20190430,52651
74,a,74_a,74_a.npy,20160615T134212_20160615T134542_T21JZN,Cascavel,Cascavel,Brazil,3466779,-53.45528,-24.95583,20160615,134212
74,b,74_b,74_b.npy,20160406T134913_20160406T200257_T21JZN,Cascavel,Cascavel,Brazil,3466779,-53.45528,-24.95583,20160406,134913
75,a,75_a,75_a.npy,20180709T103019_20180709T103418_T32TLT,Mulhouse,Mulhouse,France,2991214,7.32866,47.75205,20180709,103019
75,b,75_b,75_b.npy,20160505T103032_20160505T103027_T32TLT,Mulhouse,Mulhouse,France,2991214,7.32866,47.75205,20160505,103032
76,a,76_a,76_a.npy,20190515T103029_20190515T103030_T32ULA,Koblenz,Koblenz,Germany,2886946,7.57883,50.35357,20190515,103029
76,b,76_b,76_b.npy,20160826T104022_20160826T104023_T32ULA,Koblenz,Koblenz,Germany,2886946,7.57883,50.35357,20160826,104022
77,a,77_a,77_a.npy,20181101T025839_20181101T030355_T50SNB,Bengbu,Bengbu,China,1816440,117.36083,32.94083,20181101,25839
77,b,77_b,77_b.npy,20180909T024539_20180909T025224_T50SNB,Bengbu,Bengbu,China,1816440,117.36083,32.94083,20180909,24539
78,a,78_a,78_a.npy,20171210T143739_20171210T144605_T19HCC,San Bernardo,San Bernardo,Chile,3872348,-70.6996,-33.59217,20171210,143739
78,b,78_b,78_b.npy,20161230T145122_20161230T145120_T19HCC,San Bernardo,San Bernardo,Chile,3872348,-70.6996,-33.59217,20161230,145122
79,a,79_a,79_a.npy,20161010T080842_20161010T080908_T37SDC,Malatya,Malatya,Turkey,304922,38.31667,38.35018,20161010,80842
79,b,79_b,79_b.npy,20170705T082009_20170705T082529_T37SDC,Malatya,Malatya,Turkey,304922,38.31667,38.35018,20170705,82009
80,a,80_a,80_a.npy,20180719T153559_20180719T154032_T19TCH,Lexington,Lexington,United States,4941935,-71.2245,42.44732,20180719,153559
80,b,80_b,80_b.npy,20190826T153819_20190826T154455_T19TCH,Lexington,Lexington,United States,4941935,-71.2245,42.44732,20190826,153819
81,a,81_a,81_a.npy,20171031T032851_20171031T033837_T48RXQ,Guiyang,Guiyang,China,1809461,106.71667,26.58333,20171031,32851
81,b,81_b,81_b.npy,20171225T033129_20171225T033639_T48RXQ,Guiyang,Guiyang,China,1809461,106.71667,26.58333,20171225,33129
82,a,82_a,82_a.npy,20170101T100412_20170101T101120_T31NFJ,Iwo,Iwo,Nigeria,2336905,4.18156,7.63527,20170101,100412
82,b,82_b,82_b.npy,20200126T100321_20200126T101426_T31NFJ,Iwo,Iwo,Nigeria,2336905,4.18156,7.63527,20200126,100321
84,a,84_a,84_a.npy,20180228T032701_20180228T033003_T49TDE,Baotou,Baotou,China,2038432,110.01669,40.58337,20180228,32701
84,b,84_b,84_b.npy,20170223T033631_20170223T033632_T49TDE,Baotou,Baotou,China,2038432,110.01669,40.58337,20170223,33631
85,a,85_a,85_a.npy,20191109T030929_20191109T031358_T49RFN,Xiulin,Xiulin,China,1788268,112.4,29.71667,20191109,30929
85,b,85_b,85_b.npy,20180915T030539_20180915T031550_T49RFN,Xiulin,Xiulin,China,1788268,112.4,29.71667,20180915,30539
87,a,87_a,87_a.npy,20190607T062631_20190607T063238_T42STJ,Qarshi,Qarshi,Uzbekistan,1216311,65.78905,38.86056,20190607,62631
87,b,87_b,87_b.npy,20190413T062639_20190413T063556_T41SQD,Qarshi,Qarshi,Uzbekistan,1216311,65.78905,38.86056,20190413,62639
88,a,88_a,88_a.npy,20170208T074051_20170208T074047_T39UWS,Oral,Oral,Kazakhstan,608668,51.36667,51.23333,20170208,74051
88,b,88_b,88_b.npy,20180211T075039_20180211T075157_T39UWS,Oral,Oral,Kazakhstan,608668,51.36667,51.23333,20180211,75039
89,a,89_a,89_a.npy,20181004T024541_20181004T025132_T51TUF,Jinzhou,Jinzhou,China,2036427,121.14167,41.10778,20181004,24541
89,b,89_b,89_b.npy,20161123T025022_20161123T025214_T51TUF,Jinzhou,Jinzhou,China,2036427,121.14167,41.10778,20161123,25022
90,a,90_a,90_a.npy,20190925T190119_20190925T190458_T10TDQ,Salem,Salem,United States,5750162,-123.0351,44.9429,20190925,190119
90,b,90_b,90_b.npy,20181119T190659_20181119T190948_T10TDQ,Salem,Salem,United States,5750162,-123.0351,44.9429,20181119,190659
91,a,91_a,91_a.npy,20191222T164709_20191222T164709_T16SDH,Evansville,Evansville,United States,4257227,-87.55585,37.97476,20191222,164709
91,b,91_b,91_b.npy,20181028T164409_20181028T165138_T16SDH,Evansville,Evansville,United States,4257227,-87.55585,37.97476,20181028,164409
92,a,92_a,92_a.npy,20181020T190419_20181020T190557_T10TDP,Springfield,Springfield,United States,5754005,-123.02203,44.04624,20181020,190419
92,b,92_b,92_b.npy,20190602T185921_20190602T190603_T10TDP,Springfield,Springfield,United States,5754005,-123.02203,44.04624,20190602,185921
93,a,93_a,93_a.npy,20181204T133219_20181204T133219_T22JDR,Palmas,Palmas,Brazil,3455459,-51.99056,-26.48417,20181204,133219
93,b,93_b,93_b.npy,20190915T133221_20190915T133223_T22JCR,Palmas,Palmas,Brazil,3455459,-51.99056,-26.48417,20190915,133221
94,a,94_a,94_a.npy,20150913T094016_20161230T023857_T33TYN,Budapest,Budapest,Hungary,3054643,19.04045,47.49835,20150913,94016
94,b,94_b,94_b.npy,20170624T094031_20170624T094315_T33TYN,Budapest,Budapest,Hungary,3054643,19.04045,47.49835,20170624,94031
95,a,95_a,95_a.npy,20170309T001211_20170309T001346_T55HCU,Melbourne,Melbourne,Australia,2158177,144.96332,-37.814,20170309,1211
95,b,95_b,95_b.npy,20180418T001109_20180418T001107_T55HCU,Melbourne,Melbourne,Australia,2158177,144.96332,-37.814,20180418,1109
96,a,96_a,96_a.npy,20181011T092031_20181011T092025_T34TFL,Thessaloníki,Thessaloniki,Greece,734077,22.93086,40.64361,20181011,92031
96,b,96_b,96_b.npy,20170723T092029_20170723T092853_T34TFL,Thessaloníki,Thessaloniki,Greece,734077,22.93086,40.64361,20170723,92029
97,a,97_a,97_a.npy,20190705T022551_20190705T024107_T49MHS,Banjarmasin,Banjarmasin,Indonesia,1650213,114.59075,-3.31987,20190705,22551
97,b,97_b,97_b.npy,20180923T022539_20180923T024200_T49MHS,Banjarmasin,Banjarmasin,Indonesia,1650213,114.59075,-3.31987,20180923,22539
99,a,99_a,99_a.npy,20161105T183542_20161105T184337_T11SMT,Santa Ana,Santa Ana,United States,5392900,-117.86783,33.74557,20161105,183542
99,b,99_b,99_b.npy,20180916T183011_20180916T184001_T11SMT,Santa Ana,Santa Ana,United States,5392900,-117.86783,33.74557,20180916,183011
100,a,100_a,100_a.npy,20161114T054102_20161114T092751_T43RCJ,Raipur,Raipur,India,1258972,74.02373,26.04259,20161114,54102
100,b,100_b,100_b.npy,20151130T054752_20170512T170902_T43RCJ,Raipur,Raipur,India,1258972,74.02373,26.04259,20151130,54752
101,a,101_a,101_a.npy,20190801T133229_20190801T133232_T22KDV,Maringá,Maringa,Brazil,3457671,-51.93861,-23.42528,20190801,133229
101,b,101_b,101_b.npy,20190930T133229_20190930T133239_T22KDV,Maringá,Maringa,Brazil,3457671,-51.93861,-23.42528,20190930,133229
102,a,102_a,102_a.npy,20190914T184001_20190914T184553_T10SGJ,Reno,Reno,United States,5511077,-119.8138,39.52963,20190914,184001
102,b,102_b,102_b.npy,20190815T183931_20190815T184457_T10SGJ,Reno,Reno,United States,5511077,-119.8138,39.52963,20190815,183931
103,a,103_a,103_a.npy,20190911T155829_20190911T160352_T17SQV,Raleigh,Raleigh,United States,4487042,-78.63861,35.7721,20190911,155829
103,b,103_b,103_b.npy,20190710T154819_20190710T160105_T17SQV,Raleigh,Raleigh,United States,4487042,-78.63861,35.7721,20190710,154819
104,a,104_a,104_a.npy,20200101T151659_20200101T151930_T19PBM,Cabimas,Cabimas,Venezuela,3647651,-71.45206,10.39907,20200101,151659
104,b,104_b,104_b.npy,20180312T151659_20180312T151655_T19PBM,Cabimas,Cabimas,Venezuela,3647651,-71.45206,10.39907,20180312,151659
105,a,105_a,105_a.npy,20190518T095031_20190518T095033_T33UXS,Wrocław,Wroclaw,Poland,3081368,17.03333,51.1,20190518,95031
105,b,105_b,105_b.npy,20180801T095031_20180801T095403_T33UXS,Wrocław,Wroclaw,Poland,3081368,17.03333,51.1,20180801,95031
106,a,106_a,106_a.npy,20190810T015659_20190810T021458_T51NYH,Davao,Davao,Philippines,1715348,125.61278,7.07306,20190810,15659
106,b,106_b,106_b.npy,20180221T021341_20180221T021341_T51NYH,Davao,Davao,Philippines,1715348,125.61278,7.07306,20180221,21341
107,a,107_a,107_a.npy,20190422T131251_20190422T131246_T23KMQ,Guaratinguetá,Guaratingueta,Brazil,3461859,-45.1925,-22.81639,20190422,131251
107,b,107_b,107_b.npy,20180626T131241_20180626T131243_T23KMQ,Guaratinguetá,Guaratingueta,Brazil,3461859,-45.1925,-22.81639,20180626,131241
109,a,109_a,109_a.npy,20190324T150719_20190324T150915_T19PFM,Valencia,Valencia,Venezuela,3625549,-68.00765,10.16202,20190324,150719
109,b,109_b,109_b.npy,20191209T150719_20191209T150714_T19PFM,Valencia,Valencia,Venezuela,3625549,-68.00765,10.16202,20191209,150719
110,a,110_a,110_a.npy,20161112T134212_20161112T134719_T21JXF,Rivera,Rivera,Uruguay,3440781,-55.55076,-30.90534,20161112,134212
